index,Book Name,Book_average_rating,Book_ratings_count,Publishing Year,genre,gross sales,sale price,sales rank,Publisher,units sold
65,The Rainmaker,3.91,137412,1995,fiction,12040.93,7.99,67,"Amazon Digital Services,  Inc.",1507
66,Don Quijote de La Mancha,3.85,134931,1605,fiction,13413.08,8.99,68,Hachette Book Group,1492
67,Assassin's Apprentice,4.14,132777,1995,fiction,2907.39,1.99,70,"Amazon Digital Services,  Inc.",1461
68,The Restaurant at the End of the Universe,4.22,153838,1980,fiction,11553.54,7.99,71,Penguin Group (USA) LLC,1446
69,Torment,3.89,174393,2010,fiction,5705.7,3.99,72,"Amazon Digital Services,  Inc.",1430
70,The Tale of Peter Rabbit,4.17,162373,1901,fiction,9890.85,6.99,73,Penguin Group (USA) LLC,1415
71,The Silver Chair,3.95,170453,1953,fiction,5245.36,3.79,75,Hachette Book Group,1384
72,The Hero of Ages,4.46,143622,2008,nonfiction,5826.64,4.21,75,"Amazon Digital Services,  Inc.",1384
73,"Girl, Interrupted",3.9,145161,1993,fiction,2724.31,1.99,76,Hachette Book Group,1369
74,"Are You There, Vodka? It's Me, Chelsea",3.85,127096,2007,fiction,5462.31,3.99,76,Hachette Book Group,1369
75,Jonathan Livingston Seagull,3.8,133728,1970,fiction,6751.47,4.99,77,"Amazon Digital Services,  Inc.",1353
76,City of Heavenly Fire,4.48,177796,2014,fiction,6676.62,4.99,78,"Amazon Digital Services,  Inc.",1338
77,Love You Forever,4.34,159703,1986,fiction,1309.77,0.99,79,"Amazon Digital Services,  Inc.",1323
78,Cell,3.64,144591,2006,fiction,5933.78,4.54,80,HarperCollins Publishers,1307
79,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32,113565,2013,fiction,8482.43,6.49,80,Hachette Book Group,1307
80,The Silmarillion,3.87,134106,1977,fiction,6447.08,4.99,81,Random House LLC,1292
81,The Drawing of the Three,4.23,139052,1987,nonfiction,2539.24,1.99,82,HarperCollins Publishers,1276
82,The Forgotten Garden,4.12,138377,2008,fiction,4907.7,3.99,85,"Amazon Digital Services,  Inc.",1230
84,This Lullaby,4.03,151829,2002,fiction,2417.85,1.99,86,HarperCollins Publishers,1215
85,Plain Truth,3.97,128406,2000,fiction,1188,0.99,87,"Amazon Digital Services,  Inc.",1200
86,Orange Is the New Black: My Year in a Women's Prison,3.7,127186,2010,fiction,2388,1.99,87,"Amazon Digital Services,  Inc.",1200
87,The Hound of the Baskervilles,4.09,154517,1902,fiction,2356.16,1.99,88,Macmillan,1184
88,"Thinking, Fast and Slow",4.08,136950,2011,fiction,1157.31,0.99,89,"Amazon Digital Services,  Inc.",1169
89,The Mists of Avalon,4.12,157736,1982,fiction,1157.31,0.99,89,"Amazon Digital Services,  Inc.",1169
90,"Are You There God? It's Me, Margaret",3.89,151789,1970,fiction,1111.77,0.99,92,"Amazon Digital Services,  Inc.",1123
91,Nights in Rodanthe,3.82,129807,2002,fiction,5603.77,4.99,92,"Amazon Digital Services,  Inc.",1123
92,Mr. Mercedes,3.92,125847,2014,fiction,2202.93,1.99,93,Macmillan,1107
93,All Together Dead,4.05,162689,2007,fiction,6983.24,6.49,95,Random House LLC,1076
94,Midwives,3.97,133155,1997,fiction,6885.89,6.49,96,Random House LLC,1061
95,The Polar Express,4.29,168001,1985,nonfiction,1035.54,0.99,97,"Amazon Digital Services,  Inc.",1046
96,The True Story of the Three Little Pigs,4.29,141945,1989,fiction,1019.7,0.99,98,"Amazon Digital Services,  Inc.",1030
97,Patriot Games,4.11,141674,1987,fiction,6079.85,5.99,99,"Amazon Digital Services,  Inc.",1015
98,Veronika decide morrer,3.69,111856,1998,fiction,6932.45,6.83,99,Penguin Group (USA) LLC,1015
99,"Lean In: Women, Work, and the Will to Lead",3.94,135635,2013,fiction,985.05,0.99,101,"Amazon Digital Services,  Inc.",995
100,Dead as a Doornail,4.01,169560,2005,fiction,5068.8,5.12,102,Penguin Group (USA) LLC,990
101,"Shatter Me (Shatter Me, #1)",4.01,176433,2011,fiction,2195.2,2.24,104,"Amazon Digital Services,  Inc.",980
102,Starship Troopers,3.99,136886,1959,fiction,7312.5,7.5,105,Hachette Book Group,975
103,I've Got Your Number,3.93,144533,2011,fiction,960.3,0.99,106,"Amazon Digital Services,  Inc.",970
104,Sofies Verden,3.88,109692,1991,fiction,10224,10.65,108,Penguin Group (USA) LLC,960
105,,4.3,188136,2011,fiction,7670.4,7.99,108,Penguin Group (USA) LLC,960
106,The Martian Chronicles,4.12,143236,1950,fiction,1880.55,1.99,111,"Amazon Digital Services,  Inc.",945
107,A Visit From the Goon Squad,3.64,120126,2010,fiction,4690.6,4.99,112,Macmillan,940
108,Heidi,3.97,144497,1880,fiction,3730.65,3.99,113,Penguin Group (USA) LLC,935
109,Prey,3.72,131352,2002,fiction,1850.7,1.99,114,"Amazon Digital Services,  Inc.",930
110,The Last Battle,4.02,158701,1956,fiction,5980,6.5,116,"Amazon Digital Services,  Inc.",920
111,World Without End,4.23,128715,2007,fiction,905.85,0.99,117,Random House LLC,915
112,Chosen: A House of Night Novel,3.9,180961,2008,fiction,7759.2,8.48,117,"Amazon Digital Services,  Inc.",915
113,Slammed,4.29,153882,2012,fiction,900.9,0.99,118,"Amazon Digital Services,  Inc.",910
114,"Beastly (Beastly, #1, Kendra Chronicles, #1)",3.84,150003,2007,fiction,895.95,0.99,119,"Amazon Digital Services,  Inc.",905
115,Tales of Caunterbury,3.48,148480,1390,fiction,891,0.99,120,"Amazon Digital Services,  Inc.",900
116,Baby Proof,3.71,124371,2006,nonfiction,5841,6.49,120,Macmillan,900
117,Inheritance,4.08,146905,2011,nonfiction,10731.05,11.99,121,Random House LLC,895
119,Uncle Tom's Cabin or Life Among the Lowly,3.83,137858,1852,fiction,1771.1,1.99,122,HarperCollins Publishers,890
121,"Definitely Dead (Sookie Stackhouse, #6)",4.02,163054,2006,fiction,6525,7.5,126,Simon and Schuster Digital Sales Inc,870
122,Ensaio Sobre a Cegueira,4.08,98738,1995,fiction,3451.35,3.99,127,"Amazon Digital Services,  Inc.",865
123,Freedom,3.73,119213,2010,fiction,6871.4,7.99,128,Random House LLC,860
124,Crossed,3.52,100886,2011,fiction,841.5,0.99,130,"Amazon Digital Services,  Inc.",850
125,"I'd Tell You I Love You, But Then I'd Have to Kill You",3.82,150222,2006,fiction,10131.55,11.99,131,Hachette Book Group,845
126,The White Tiger,3.71,114531,2008,fiction,6711.6,7.99,132,Random House LLC,840
127,The Corrections,3.78,117657,2001,fiction,816.75,0.99,135,"Amazon Digital Services,  Inc.",825
128,Dreams from My Father,3.81,128961,1995,nonfiction,1641.75,1.99,135,HarperCollins Publishers,825
129,Congo,3.55,129811,1980,nonfiction,5696.85,6.99,137,Random House LLC,815
130,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.22,146073,1972,fiction,2421.9,2.99,138,"Amazon Digital Services,  Inc.",810
131,Interpreter of Maladies,4.12,110651,1999,fiction,8573.25,10.65,139,Penguin Group (USA) LLC,805
132,A People's History of the United States: 1492 to Present,4.07,137372,1980,fiction,3192,3.99,140,"Amazon Digital Services,  Inc.",800
133,Breakfast at Tiffany's,3.89,129778,1958,fiction,792,0.99,140,"Amazon Digital Services,  Inc.",800
134,The Passage,4.04,126993,2010,fiction,3172.05,3.99,141,"Amazon Digital Services,  Inc.",795
135,Anansi Boys,4,137639,2005,nonfiction,1572.1,1.99,142,"Amazon Digital Services,  Inc.",790
136,Along for the Ride,4.08,151721,2009,fiction,9412.15,11.99,143,Penguin Group (USA) LLC,785
137,Everything I Never Told You,3.78,108703,2014,fiction,3112.2,3.99,144,"Amazon Digital Services,  Inc.",780
139,The Dead Zone,3.9,132723,1979,fiction,1512.4,1.99,148,HarperCollins Publishers,760
140,The Mysterious Affair at Styles,3.98,135514,1920,fiction,3012.45,3.99,149,"Amazon Digital Services,  Inc.",755
141,Murder in the Calais Coach,4.16,138444,1934,fiction,3742.5,4.99,150,"Amazon Digital Services,  Inc.",750
142,Americanah,4.26,113252,2013,fiction,2992.5,3.99,150,"Amazon Digital Services,  Inc.",750
143,Suzanne's Diary for Nicholas,4.16,121398,2001,fiction,3717.55,4.99,151,Random House LLC,745
144,Firestarter,3.85,142213,1980,fiction,2952.6,3.99,152,Macmillan,740
145,Entwined with You,4.19,141641,2013,fiction,727.65,0.99,153,"Amazon Digital Services,  Inc.",735
146,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.27,109642,2009,fiction,3642.7,4.99,154,"Amazon Digital Services,  Inc.",730
147,The Storied Life of A.J. Fikry,3.98,115393,2014,fiction,5444.75,7.51,155,Random House LLC,725
148,Mad About Madeline,4.22,156726,1939,fiction,712.8,0.99,156,"Amazon Digital Services,  Inc.",720
149,Think and Grow Rich,4.17,87445,1937,fiction,702.9,0.99,158,"Amazon Digital Services,  Inc.",710
150,Little House In The Big Woods,4.16,165127,1932,fiction,697.95,0.99,159,"Amazon Digital Services,  Inc.",705
151,Jonathan Strange & Mr Norrell,3.8,133683,2004,fiction,5593,7.99,160,Hachette Book Group,700
152,A Bend in the Road,4.02,116800,2001,fiction,1353.2,1.99,164,HarperCollins Publishers,680
153,The House of Hades,4.54,159774,2013,nonfiction,668.25,0.99,165,"Amazon Digital Services,  Inc.",675
154,Gone,3.85,144606,2008,fiction,3678.3,5.49,166,"Amazon Digital Services,  Inc.",670
155,The Wedding,3.98,118045,2003,fiction,658.35,0.99,167,"Amazon Digital Services,  Inc.",665
156,1776,4.06,130293,2005,fiction,7814.4,11.84,168,Random House LLC,660
157,Under the Banner of Heaven: A Story of Violent Faith,3.98,112167,2003,fiction,648.45,0.99,169,"Amazon Digital Services,  Inc.",655
158,Beautiful Ruins,3.67,116053,2012,fiction,9818.45,14.99,169,Random House LLC,655
159,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69,110873,2006,fiction,3243.5,4.99,170,"Amazon Digital Services,  Inc.",650
160,On Writing: A Memoir of the Craft,4.31,131481,1999,fiction,1943.5,2.99,170,"Amazon Digital Services,  Inc.",650
161,Firefly Lane,4.04,121966,2008,fiction,3218.55,4.99,171,"Amazon Digital Services,  Inc.",645
162,Sphere,3.77,128244,1987,fiction,4473.6,6.99,172,Random House LLC,640
163,Love the One You're With,3.7,124812,2008,fiction,5663.7,8.99,174,Simon and Schuster Digital Sales Inc,630
164,The Silkworm,4.03,120008,2014,fiction,608.85,0.99,177,"Amazon Digital Services,  Inc.",615
165,The Vampire Lestat,4.05,141299,1985,fiction,603.9,0.99,178,"Amazon Digital Services,  Inc.",610
166,State of Wonder,3.85,124837,2011,fiction,1210,2,179,"Amazon Digital Services,  Inc.",605
167,The Silver Linings Playbook,4,110939,2008,fiction,594,0.99,180,"Amazon Digital Services,  Inc.",600
168,Vingt Mille Lieues Sous les Mers,3.86,121112,1869,fiction,3540.25,5.95,181,"Amazon Digital Services,  Inc.",595
169,The Constant Princess,3.88,124786,2005,fiction,3564.05,5.99,181,Penguin Group (USA) LLC,595
170,Mrs Dalloway,3.78,136327,1925,fiction,1174.1,1.99,182,"Amazon Digital Services,  Inc.",590
172,Bag of Bones,3.87,131004,1998,fiction,569.25,0.99,185,"Amazon Digital Services,  Inc.",575
173,The Cider House Rules,4.1,124876,1985,fiction,1134.3,1.99,186,"Amazon Digital Services,  Inc.",570
174,Thinner,3.66,130219,1984,fiction,1659.45,2.99,189,"Amazon Digital Services,  Inc.",555
175,Le tour du monde en quatre-vingts jours,3.9,117108,1872,fiction,4434.45,7.99,189,Penguin Group (USA) LLC,555
176,Walk Two Moons,3.95,129350,1994,nonfiction,544.5,0.99,190,"Amazon Digital Services,  Inc.",550
177,Onze minutos,3.69,102206,2003,fiction,534.6,0.99,192,"Amazon Digital Services,  Inc.",540
178,Nine Stories,4.19,105138,1953,fiction,2154.6,3.99,192,"Amazon Digital Services,  Inc.",540
179,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",3.67,121373,2005,nonfiction,1599.65,2.99,193,Random House LLC,535
180,Unwind,4.18,143892,2007,fiction,524.7,0.99,194,Macmillan,530
181,"Drums of Autumn (Outlander, #4)",4.34,123736,1996,nonfiction,1024.85,1.99,197,"Amazon Digital Services,  Inc.",515
182,Prodigy,4.29,149702,2013,fiction,1524.9,2.99,198,"Amazon Digital Services,  Inc.",510
183,The Tragedie of King Lear,3.89,135448,1603,fiction,2014.95,3.99,199,"Amazon Digital Services,  Inc.",505
184,Death of a Salesman,3.49,132061,1949,fiction,5433.18,10.91,201,Penguin Group (USA) LLC,498
185,The Choice,3.99,93479,2007,fiction,1483.04,2.99,202,"Amazon Digital Services,  Inc.",496
186,,4.51,119915,2012,fiction,2950.91,6.01,205,HarperCollins Publishers,491
187,The Sound and the Fury,3.86,124665,1929,fiction,2445.1,4.99,206,Hachette Book Group,490
188,A New Earth: Awakening to Your Life's Purpose,4.02,106211,2005,fiction,483.12,0.99,207,"Amazon Digital Services,  Inc.",488
190,,4.17,118910,2013,fiction,5269.53,10.91,210,Penguin Group (USA) LLC,483
191,The Shadow Rising,4.21,122524,1992,nonfiction,2057.58,4.26,210,HarperCollins Publishing,483
192,Shantaram,4.26,95213,2003,fiction,476.19,0.99,211,"Amazon Digital Services,  Inc.",481
193,From Dead to Worse,4.01,151095,2008,fiction,475.2,0.99,212,"Amazon Digital Services,  Inc.",480
194,The Waste Lands,4.24,117483,1991,fiction,1429.22,2.99,213,"Amazon Digital Services,  Inc.",478
195,The Bone Collector,4.18,120541,1997,fiction,5253.22,10.99,213,Random House LLC,478
196,Der Vorleser,3.73,119911,1995,fiction,1423.24,2.99,214,"Amazon Digital Services,  Inc.",476
197,"Brown Bear, Brown Bear, What Do You See?",4.19,125668,1967,fiction,2375.24,4.99,214,Hachette Book Group,476
198,Hyperion,4.21,122225,1989,fiction,470.25,0.99,215,"Amazon Digital Services,  Inc.",475
199,The Pearl of the World,3.41,133264,1947,fiction,470.25,0.99,215,"Amazon Digital Services,  Inc.",475
200,The Exorcist,4.14,124467,1971,fiction,1399.32,2.99,219,"Amazon Digital Services,  Inc.",468
201,The Short Second Life of Bree Tanner,3.51,145874,2009,fiction,461.34,0.99,220,"Amazon Digital Services,  Inc.",466
202,Snow Falling on Cedars,3.8,131945,1994,fiction,1393.34,2.99,220,"Amazon Digital Services,  Inc.",466
203,Roots,4.42,118951,1976,fiction,460.35,0.99,221,Macmillan,465
204,Batman: The Killing Joke,4.36,113855,1988,fiction,455.4,0.99,224,Random House LLC,460
205,Invisible Man,3.84,123073,1952,fiction,455.4,0.99,224,"Amazon Digital Services,  Inc.",460
206,A Long Way Gone. Memoirs of a Boy Soldier,4.14,116260,2007,fiction,3643.44,7.99,226,"Amazon Digital Services,  Inc.",456
207,Mrs. Frisby and the Rats of NIMH,4.13,135978,1971,fiction,1815.45,3.99,227,"Amazon Digital Services,  Inc.",455
208,Different Seasons,4.34,105961,1982,fiction,5000.45,10.99,227,Simon and Schuster Digital Sales Inc,455
209,The Little House Collection,4.33,124320,1953,fiction,5195.91,11.47,228,Random House LLC,453
210,The Girls' Guide to Hunting and Fishing,3.29,113977,1998,nonfiction,448.47,0.99,228,"Amazon Digital Services,  Inc.",453
211,Wool Omnibus,4.24,81982,2012,fiction,2250.49,4.99,229,Penguin Group (USA) LLC,451
212,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26,118576,2002,fiction,4792.5,10.65,230,Random House LLC,450
213,The Power of Now,4.1,104549,1997,fiction,4771.2,10.65,231,Penguin Group (USA) LLC,448
214,Let's Pretend This Never Happened (A Mostly True Memoir),3.9,118475,2012,fiction,443.52,0.99,231,"Amazon Digital Services,  Inc.",448
215,The Lies of Locke Lamora,4.3,118751,2006,fiction,1324.57,2.99,234,Simon and Schuster Digital Sales Inc,443
216,Sabriel,4.17,137047,1995,fiction,8811.18,19.98,235,Random House LLC,441
217,Dead and Gone,4.01,145157,2009,fiction,2175.64,4.99,238,Random House LLC,436
218,The Storyteller,4.26,109313,2013,fiction,430.65,0.99,239,"Amazon Digital Services,  Inc.",435
219,Obsidian,4.23,164832,2011,fiction,5191.67,11.99,240,Penguin Group (USA) LLC,433
220,"Life, the Universe and Everything",4.19,131562,1982,fiction,2593.67,5.99,240,Hachette Book Group,433
221,Crown of Midnight,4.49,160485,2013,fiction,426.69,0.99,241,"Amazon Digital Services,  Inc.",431
222,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",4.18,126864,2004,fiction,425.7,0.99,242,Random House LLC,430
223,Half Broke Horses: A True Life Novel,4.05,110597,2008,fiction,5107.74,11.99,244,Penguin Group (USA) LLC,426
224,Mort,4.22,128450,1987,fiction,3821.22,8.97,244,"Amazon Digital Services,  Inc.",426
225,"The Iron King (The Iron Fey, #1)",3.92,158063,2010,fiction,420.75,0.99,245,Macmillan,425
226,Lonesome Dove,4.47,111498,1985,fiction,1687.77,3.99,246,"Amazon Digital Services,  Inc.",423
227,Stiff: The Curious Lives of Human Cadavers,4.05,122502,2003,nonfiction,4473,10.65,248,Random House LLC,420
228,Bloodlines,4.22,140599,2011,fiction,413.82,0.99,249,Macmillan,418
229,Ender's Shadow,4.3,115521,1998,nonfiction,411.84,0.99,250,"Amazon Digital Services,  Inc.",416
230,Twenties Girl,3.82,119105,2009,fiction,2070.85,4.99,251,Random House LLC,415
231,Schindler's Ark,4.34,108338,1982,fiction,2537.9,6.19,254,"Amazon Digital Services,  Inc.",410
232,The Bluest Eye,3.99,109944,1970,fiction,1219.92,2.99,255,"Amazon Digital Services,  Inc.",408
233,The White Queen,3.9,119739,2009,fiction,1685.04,4.13,255,"Amazon Digital Services,  Inc.",408
234,The Autobiography of Malcolm X,4.29,124805,1965,nonfiction,2025.94,4.99,256,Random House LLC,406
235,Preludes & Nocturnes,4.3,122540,1989,nonfiction,2251.8,5.56,257,"Amazon Digital Services,  Inc.",405
236,Seabiscuit,4.2,111497,1999,fiction,1007.5,2.5,258,HarperCollins Publishers,403
237,Shutter Island,4.07,113718,2003,fiction,4270.65,10.65,259,Penguin Group (USA) LLC,401
238,The Complete Sherlock Holmes,4.5,109754,1894,fiction,3180.02,7.99,261,Penguin Group (USA) LLC,398
239,The Tragedy of Julius Caesar,3.65,119933,1599,fiction,392.04,0.99,262,"Amazon Digital Services,  Inc.",396
240,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",3.81,110481,2011,fiction,392.04,0.99,262,"Amazon Digital Services,  Inc.",396
242,The Taming of the Shrew,3.81,126318,1593,nonfiction,2726.1,6.99,266,Hachette Book Group,390
243,Cress,4.46,162069,2014,nonfiction,1154.14,2.99,268,Macmillan,386
244,Just Kids,4.14,106542,2010,fiction,766.15,1.99,269,Random House LLC,385
245,,3.79,102746,1997,fiction,3060.17,7.99,270,Penguin Group (USA) LLC,383
246,Jemima J,3.62,101436,2001,fiction,758.19,1.99,271,"Amazon Digital Services,  Inc.",381
247,Notre-Dame de Paris,3.97,119851,1831,nonfiction,3013.71,7.91,271,"Amazon Digital Services,  Inc.",381
248,A Fine Balance,4.34,99252,1996,fiction,1136.2,2.99,272,Simon and Schuster Digital Sales Inc,380
249,Calvin and Hobbes,4.61,117788,1987,nonfiction,1886.22,4.99,273,Penguin Group (USA) LLC,378
250,Specials,3.77,139168,2006,fiction,1124.24,2.99,274,"Amazon Digital Services,  Inc.",376
251,The Awakening,3.63,125474,1899,fiction,371.25,0.99,275,"Amazon Digital Services,  Inc.",375
252,Hunted,3.93,138103,2009,fiction,1871.25,4.99,275,Random House LLC,375
253,For One More Day,4.09,102193,2006,fiction,1488.27,3.99,276,"Amazon Digital Services,  Inc.",373
254,Clear and Present Danger,4.08,105317,1989,fiction,1115.27,2.99,276,Hachette Book Group,373
255,Falling Up,4.33,111779,1996,fiction,366.3,0.99,278,"Amazon Digital Services,  Inc.",370
256,Sh*t My Dad Says,3.98,102560,2010,nonfiction,2775,7.5,278,Hachette Book Group,370
257,Trainspotting,4.07,59453,1993,fiction,1100.32,2.99,279,Random House LLC,368
258,Foundation and Empire,4.2,105595,1952,fiction,1094.34,2.99,280,"Amazon Digital Services,  Inc.",366
259,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",4.12,97016,1997,fiction,4388.34,11.99,280,Penguin Group (USA) LLC,366
260,House Rules,4.01,111239,2010,nonfiction,4084.35,11.19,281,HarperCollins Publishers,365
262,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15,134537,1967,fiction,1085.37,2.99,282,"Amazon Digital Services,  Inc.",363
263,Doctor Sleep,4.1,95276,2013,fiction,357.39,0.99,283,"Amazon Digital Services,  Inc.",361
264,About a Boy,3.79,101999,1998,fiction,1079.39,2.99,283,Penguin Group (USA) LLC,361
265,On Dublin Street,4.24,136761,2012,nonfiction,3905.78,10.91,285,Random House LLC,358
266,Crazy Love: Overwhelmed by a Relentless God,4.15,106351,2008,fiction,1064.44,2.99,286,Macmillan,356
